#Device ID ; Time (us) ; Current (mA) ; Voltage (V) ; PC ; Function Name ; File Name ; Line number
000440245691; 32319301; 0.0011102074; 3.32365; -1; ; ; 0
000440245691; 32329301; 9.641351E-4; 3.3206892; -1; ; ; 0
000440245691; 32339301; 0.0012495163; 3.3206892; -1; ; ; 0
000440245691; 32349301; 0.0013325817; 3.3206892; -1; ; ; 0
000440245691; 32359301; 0.0011008868; 3.3233807; -1; ; ; 0
000440245691; 32369301; 8.4808207E-4; 3.3233807; -1; ; ; 0
000440245691; 32379301; 0.0010291071; 3.3239193; -1; ; ; 0
000440245691; 32389301; 0.0015763396; 3.3239193; -1; ; ; 0
000440245691; 32399301; 0.0014573167; 3.3239193; -1; ; ; 0
000440245691; 32409301; 0.0016869568; 3.32365; -1; ; ; 0
000440245691; 32419301; 0.001758553; 3.32365; -1; ; ; 0
000440245691; 32429301; 8.433296E-4; 3.3255339; -1; ; ; 0
000440245691; 32439301; 8.496799E-4; 3.3255339; -1; ; ; 0
000440245691; 32449301; 0.0015780297; 3.3255339; -1; ; ; 0
000440245691; 32459301; 0.0015867559; 3.3231118; -1; ; ; 0
000440245691; 32469301; 0.0017286245; 3.3231118; -1; ; ; 0
000440245691; 32479301; 0.0016152227; 3.3233807; -1; ; ; 0
000440245691; 32489301; 0.0014409132; 3.3233807; -1; ; ; 0
000440245691; 32499301; 0.0015112301; 3.3233807; -1; ; ; 0
000440245691; 32509301; 0.0011214917; 3.3276877; -1; ; ; 0
000440245691; 32519301; 0.0013573904; 3.3276877; -1; ; ; 0
000440245691; 32529301; 0.0017101665; 3.3276877; -1; ; ; 0
000440245691; 32539301; 0.0011438362; 3.3260727; -1; ; ; 0
000440245691; 32549301; 9.6678635E-4; 3.3260727; -1; ; ; 0
000440245691; 32559301; 0.0010011911; 3.3206892; -1; ; ; 0
000440245691; 32569301; 6.4160815E-4; 3.3206892; -1; ; ; 0
000440245691; 32579301; 9.4850996E-4; 3.3206892; -1; ; ; 0
000440245691; 32589301; 0.0011813018; 3.3214967; -1; ; ; 0
000440245691; 32599301; 0.0011630711; 3.3214967; -1; ; ; 0
